"Bundesland" "Von" "Bis"
"Baden-Württemberg" "25.03." "05.04."
"Baden-Württemberg" "21.05." "01.06."
"Baden-Württemberg" "25.07." "07.09."
"Baden-Württemberg" "28.10." "30.10."
"Baden-Württemberg" "23.12." "04.01."
"Bayern" "11.02." "15.02."
"Bayern" "25.03." "06.04."
"Bayern" "21.05." "31.05."
"Bayern" "31.07." "11.09."
"Bayern" "28.10." "31.10."
"Bayern" "23.12." "04.01."
"Berlin" "04.02." "09.02."
"Berlin" "25.03." "06.04."
"Berlin" "19.06." "02.08."
"Berlin" "30.09." "12.10."
"Berlin" "23.12." "03.01."
"Brandenburg" "04.02." "09.02."
"Brandenburg" "27.03." "06.04."
"Brandenburg" "10.05." "10.05."
"Brandenburg" "20.06." "02.08."
"Brandenburg" "01.11." "01.11."
"Brandenburg" "23.12." "03.01."
"Bremen" "31.01." "01.02."
"Bremen" "16.03." "02.04."
"Bremen" "27.06." "07.08."
"Bremen" "04.10." "18.10."
"Bremen" "23.12." "03.01."
"Hamburg" "01.02." "01.02."
"Hamburg" "04.03." "15.03."
"Hamburg" "02.05." "10.05."
"Hamburg" "20.06." "31.07."
"Hamburg" "30.09." "11.10."
"Hamburg" "19.12." "03.01."
"Hessen" "25.03." "06.04."
"Hessen" "08.07." "16.08."
"Hessen" "14.10." "26.10."
"Hessen" "23.12." "11.01."
"Mecklenburg-Vorpommern" "04.02." "15.02."
"Mecklenburg-Vorpommern" "25.03." "03.04."
"Mecklenburg-Vorpommern" "17.05." "21.05."
"Mecklenburg-Vorpommern" "22.06." "03.08."
"Mecklenburg-Vorpommern" "14.10." "19.10."
"Mecklenburg-Vorpommern" "23.12." "03.01."
"Niedersachsen" "31.01." "01.02."
"Niedersachsen" "16.03." "02.04."
"Niedersachsen" "27.06." "07.08."
"Niedersachsen" "04.10." "18.10."
"Niedersachsen" "23.12." "03.01."
"Nordrhein-Westfalen" "25.03." "06.04."
"Nordrhein-Westfalen" "21.05." "21.05."
"Nordrhein-Westfalen" "22.07." "03.09."
"Nordrhein-Westfalen" "21.10." "02.11."
"Nordrhein-Westfalen" "23.12." "07.01."
"Rheinland-Pfalz" "20.03." "05.04."
"Rheinland-Pfalz" "08.07." "16.08."
"Rheinland-Pfalz" "04.10." "18.10."
"Rheinland-Pfalz" "23.12." "07.01."
"Saarland" "11.02." "16.02."
"Saarland" "25.03." "06.04."
"Saarland" "08.07." "17.08."
"Saarland" "21.10." "02.11."
"Saarland" "20.12." "04.01."
"Sachsen" "04.02." "15.02."
"Sachsen" "29.03." "06.04."
"Sachsen" "18.05." "22.05."
"Sachsen" "15.07." "23.08."
"Sachsen" "21.10." "01.11."
"Sachsen" "21.12." "03.01."
"Sachsen-Anhalt" "01.02." "08.02."
"Sachsen-Anhalt" "25.03." "30.03."
"Sachsen-Anhalt" "10.05." "18.05."
"Sachsen-Anhalt" "15.07." "28.08."
"Sachsen-Anhalt" "21.10." "25.10."
"Sachsen-Anhalt" "21.12." "03.01."
"Schleswig-Holstein" "25.03." "09.04."
"Schleswig-Holstein" "10.05." "10.05."
"Schleswig-Holstein" "24.06." "03.08."
"Schleswig-Holstein" "04.10." "18.10."
"Schleswig-Holstein" "23.12." "06.01."
"Thüringen" "18.02." "23.02."
"Thüringen" "25.03." "06.04."
"Thüringen" "10.05." "10.05."
"Thüringen" "15.07." "23.08."
"Thüringen" "21.10." "02.11."
"Thüringen" "23.12." "04.01."
