"Bundesland" "Von" "Bis"
"Aargau" "05.04." "21.04."
"Aargau" "19.07." "10.08."
"Aargau" "27.09." "12.10."
"Aargau" "20.12." "04.01."
"Appenzell Ausserrhoden" "05.04." "21.04."
"Appenzell Ausserrhoden" "05.07." "10.08."
"Appenzell Ausserrhoden" "04.10." "19.10."
"Appenzell Ausserrhoden" "24.12." "04.01."
"Appenzell Innerrhoden" "28.02." "09.03."
"Appenzell Innerrhoden" "05.04." "21.04."
"Appenzell Innerrhoden" "05.07." "17.08."
"Appenzell Innerrhoden" "04.10." "19.10."
"Appenzell Innerrhoden" "24.12." "04.01."
"Basel-Land" "01.03." "16.03."
"Basel-Land" "12.04." "27.04."
"Basel-Land" "05.07." "17.08."
"Basel-Land" "04.10." "19.10."
"Basel-Land" "24.12." "04.01."
"Basel-Stadt" "01.03." "16.03."
"Basel-Stadt" "17.04." "27.04."
"Basel-Stadt" "05.07." "17.08."
"Basel-Stadt" "04.10." "19.10."
"Basel-Stadt" "24.12." "04.01."
"Glarus" "25.01." "02.02."
"Glarus" "03.04." "21.04."
"Glarus" "28.06." "10.08."
"Glarus" "04.10." "19.10."
"Glarus" "24.12." "04.01."
"Luzern" "22.02." "09.03."
"Luzern" "18.04." "04.05."
"Luzern" "05.07." "17.08."
"Luzern" "27.09." "12.10."
"Luzern" "20.12." "04.01."
"Sankt Gallen" "05.04." "20.04."
"Sankt Gallen" "05.07." "10.08."
"Sankt Gallen" "27.09." "19.10."
"Sankt Gallen" "20.12." "04.01."
"Schaffhausen" "25.01." "09.02."
"Schaffhausen" "12.04." "27.04."
"Schaffhausen" "05.07." "10.08."
"Schaffhausen" "27.09." "19.10."
"Schaffhausen" "24.12." "04.01."
"Solothurn" "08.02." "23.02."
"Solothurn" "05.04." "23.04."
"Solothurn" "05.07." "10.08."
"Solothurn" "27.09." "19.10."
"Solothurn" "20.12." "04.01."
"Thurgau" "27.01." "02.02."
"Thurgau" "07.04." "21.04."
"Thurgau" "07.07." "10.08."
"Thurgau" "06.10." "19.10."
"Thurgau" "20.12." "04.01."
"Uri" "22.02." "09.03."
"Uri" "03.05." "18.05."
"Uri" "05.07." "17.08."
"Uri" "04.10." "19.10."
"Uri" "24.12." "06.01."
"Zürich" "10.02." "23.02."
"Zürich" "21.04." "04.05."
"Zürich" "14.07." "17.08."
"Zürich" "06.10." "18.10."
"Zürich" "22.12." "03.01."
"Zug" "01.02." "16.02."
"Zug" "12.04." "27.04."
"Zug" "05.07." "17.08."
"Zug" "04.10." "19.10."
"Zug" "20.12." "04.01."
