"Bundesland" "Von" "Bis"
"Ermland-Masuren" "25.01." "07.02."
"Ermland-Masuren" "24.03." "29.03."
"Ermland-Masuren" "24.06." "31.08."
"Ermland-Masuren" "23.12." "31.12."
"Großpolen" "18.01." "31.01."
"Großpolen" "24.03." "29.03."
"Großpolen" "24.06." "31.08."
"Großpolen" "23.12." "31.12."
"Heiligkreuz" "18.01." "31.01."
"Heiligkreuz" "24.03." "29.03."
"Heiligkreuz" "24.06." "31.08."
"Heiligkreuz" "23.12." "31.12."
"Karpatenvorland" "15.02." "28.02."
"Karpatenvorland" "24.03." "29.03."
"Karpatenvorland" "24.06." "31.08."
"Karpatenvorland" "23.12." "31.12."
"Kleinpolen" "18.01." "31.01."
"Kleinpolen" "24.03." "29.03."
"Kleinpolen" "24.06." "31.08."
"Kleinpolen" "23.12." "31.12."
"Kujawien-Pommern" "18.01." "31.01."
"Kujawien-Pommern" "24.03." "29.03."
"Kujawien-Pommern" "24.06." "31.08."
"Kujawien-Pommern" "23.12." "31.12."
"Lebus" "18.01." "31.01."
"Lebus" "24.03." "29.03."
"Lebus" "24.06." "31.08."
"Lebus" "23.12." "31.12."
"Lodsch" "15.02." "28.02."
"Lodsch" "24.03." "29.03."
"Lodsch" "24.06." "31.08."
"Lodsch" "23.12." "31.12."
"Lublin" "15.02." "28.02."
"Lublin" "24.03." "29.03."
"Lublin" "24.06." "31.08."
"Lublin" "23.12." "31.12."
"Masowien" "01.02." "14.02."
"Masowien" "24.03." "29.03."
"Masowien" "24.06." "31.08."
"Masowien" "23.12." "31.12."
"Niederschlesien" "01.02." "14.02."
"Niederschlesien" "24.03." "29.03."
"Niederschlesien" "24.06." "31.08."
"Niederschlesien" "23.12." "31.12."
"Oppeln" "01.02." "14.02."
"Oppeln" "24.03." "29.03."
"Oppeln" "24.06." "31.08."
"Oppeln" "23.12." "31.12."
"Podlachien" "25.01." "07.02."
"Podlachien" "24.03." "29.03."
"Podlachien" "24.06." "31.08."
"Podlachien" "23.12." "31.12."
"Pommern" "15.02." "28.02."
"Pommern" "24.03." "29.03."
"Pommern" "24.06." "31.08."
"Pommern" "23.12." "31.12."
"Schlesien" "15.02." "28.02."
"Schlesien" "24.03." "29.03."
"Schlesien" "24.06." "31.08."
"Schlesien" "23.12." "31.12."
"Westpommern" "01.02." "14.02."
"Westpommern" "24.03." "29.03."
"Westpommern" "24.06." "31.08."
"Westpommern" "23.12." "31.12."
